"","region","src","state_cln","confirmed","deaths","recovered","active","pop2019","den2013","reg_den2013","infections_pp100","infections_pp100_den","reg_pop2019"
"1",NA,2020-03-10,"unk",67,0,0,0,-Inf,-Inf,NA,0,0,NA
"2",NA,2020-03-11,"unk",67,0,0,0,-Inf,-Inf,NA,0,0,NA
"3",NA,2020-03-12,"unk",67,0,0,0,-Inf,-Inf,NA,0,0,NA
"4",NA,2020-03-13,"unk",67,0,0,0,-Inf,-Inf,NA,0,0,NA
"5",NA,2020-03-14,"unk",68,0,0,0,-Inf,-Inf,NA,0,0,NA
"6",NA,2020-03-15,"unk",68,0,0,0,-Inf,-Inf,NA,0,0,NA
"7",NA,2020-03-16,"unk",67,0,0,0,-Inf,-Inf,NA,0,0,NA
"8",NA,2020-03-17,"unk",68,0,0,0,-Inf,-Inf,NA,0,0,NA
"9",NA,2020-03-18,"unk",69,0,106,0,-Inf,-Inf,NA,0,0,NA
"10",NA,2020-03-19,"unk",70,0,108,0,-Inf,-Inf,NA,0,0,NA
"11",NA,2020-03-20,"unk",73,0,147,0,-Inf,-Inf,NA,0,0,NA
"12",NA,2020-03-21,"unk",73,0,171,0,-Inf,-Inf,NA,0,0,NA
"13",NA,2020-03-22,"unk",83,1,0,0,-Inf,-Inf,NA,0,0,NA
"14",NA,2020-03-23,"unk",77,1,0,0,-Inf,-Inf,NA,0,0,NA
"15",NA,2020-03-24,"unk",77,1,348,0,-Inf,-Inf,NA,0,0,NA
"16",NA,2020-03-25,"unk",77,1,361,0,-Inf,-Inf,NA,0,0,NA
"17",NA,2020-03-26,"unk",77,1,681,0,-Inf,-Inf,NA,0,0,NA
"18",NA,2020-03-27,"unk",77,3,869,0,-Inf,-Inf,NA,0,0,NA
"19",NA,2020-03-28,"unk",152,3,1072,0,-Inf,-Inf,NA,0,0,NA
"20",NA,2020-03-29,"unk",152,3,2665,0,-Inf,-Inf,NA,0,0,NA
"21",NA,2020-03-30,"unk",152,3,5644,0,-Inf,-Inf,NA,0,0,NA
"22",NA,2020-03-31,"unk",152,3,7024,0,-Inf,-Inf,NA,0,0,NA
"23",NA,2020-04-01,"unk",152,3,8474,0,-Inf,-Inf,NA,0,0,NA
"24",NA,2020-04-02,"unk",152,3,9001,0,-Inf,-Inf,NA,0,0,NA
"25",NA,2020-04-03,"unk",152,3,9707,0,-Inf,-Inf,NA,0,0,NA
"26",NA,2020-04-04,"unk",152,3,14652,0,-Inf,-Inf,NA,0,0,NA
"27",NA,2020-04-05,"unk",152,3,17448,0,-Inf,-Inf,NA,0,0,NA
"28",NA,2020-04-06,"unk",152,3,19581,0,-Inf,-Inf,NA,0,0,NA
"29",NA,2020-04-07,"unk",152,3,21763,0,-Inf,-Inf,NA,0,0,NA
"30",NA,2020-04-08,"unk",152,3,23559,0,-Inf,-Inf,NA,0,0,NA
"31",NA,2020-04-09,"unk",152,3,25410,0,-Inf,-Inf,NA,0,0,NA
"32",NA,2020-04-10,"unk",152,3,28790,0,-Inf,-Inf,NA,0,0,NA
"33",NA,2020-04-11,"unk",152,3,31270,0,-Inf,-Inf,NA,0,0,NA
"34",NA,2020-04-12,"unk",152,0,32988,-32836,-Inf,-Inf,NA,0,0,NA
"35",NA,2020-04-13,"unk",152,0,43482,-43330,-Inf,-Inf,NA,0,0,NA
"36",NA,2020-04-14,"unk",152,0,47763,-47611,-Inf,-Inf,NA,0,0,NA
"37",NA,2020-04-15,"unk",152,0,52096,-51944,-Inf,-Inf,NA,0,0,NA
"38",NA,2020-04-16,"unk",152,0,54703,-54551,-Inf,-Inf,NA,0,0,NA
"39",NA,2020-04-17,"unk",152,0,58545,-58393,-Inf,-Inf,NA,0,0,NA
"40",NA,2020-04-18,"unk",152,0,64840,-64688,-Inf,-Inf,NA,0,0,NA
"41",NA,2020-04-19,"unk",152,0,70337,-70185,-Inf,-Inf,NA,0,0,NA
"42",NA,2020-04-20,"unk",152,0,72329,-72177,-Inf,-Inf,NA,0,0,NA
"43",NA,2020-04-21,"unk",152,0,75204,-75052,-Inf,-Inf,NA,0,0,NA
"44",NA,2020-04-22,"unk",152,0,77366,-77214,-Inf,-Inf,NA,0,0,NA
"45",NA,2020-04-23,"unk",152,3,80203,-80054,-Inf,-Inf,NA,0,0,NA
"46",NA,2020-04-24,"unk",152,3,99079,-98930,-Inf,-Inf,NA,0,0,NA
"47",NA,2020-04-25,"unk",152,3,100372,-100223,-Inf,-Inf,NA,0,0,NA
"48",NA,2020-04-26,"unk",152,3,106988,-106839,-Inf,-Inf,NA,0,0,NA
"49",NA,2020-04-27,"unk",152,3,111424,-111275,-Inf,-Inf,NA,0,0,NA
"50",NA,2020-04-28,"unk",152,3,115936,-115787,-Inf,-Inf,NA,0,0,NA
"51",NA,2020-04-29,"unk",152,3,120720,-120571,-Inf,-Inf,NA,0,0,NA
"52",NA,2020-04-30,"unk",152,3,153947,-128110,-Inf,-Inf,NA,0,0,NA
"53",NA,2020-05-01,"unk",152,3,164015,-135191,-Inf,-Inf,NA,0,0,NA
"54",NA,2020-05-02,"unk",152,3,175382,-148127,-Inf,-Inf,NA,0,0,NA
"55",NA,2020-05-03,"unk",152,3,180152,-150358,-Inf,-Inf,NA,0,0,NA
"56",NA,2020-05-04,"unk",152,3,187180,-157023,-Inf,-Inf,NA,0,0,NA
"57",NA,2020-05-05,"unk",152,3,189791,-160612,-Inf,-Inf,NA,0,0,NA
"58",NA,2020-05-06,"unk",152,3,189910,-167196,-Inf,-Inf,NA,0,0,NA
"59",NA,2020-05-07,"unk",152,3,195036,-170154,-Inf,-Inf,NA,0,0,NA
"60",NA,2020-05-08,"unk",152,3,198993,-178896,-Inf,-Inf,NA,0,0,NA
"61",NA,2020-05-09,"unk",152,3,212534,-197282,-Inf,-Inf,NA,0,0,NA
"62",NA,2020-05-10,"unk",152,3,216169,-206444,-Inf,-Inf,NA,0,0,NA
"63",NA,2020-05-11,"unk",152,3,232733,-215562,-Inf,-Inf,NA,0,0,NA
"64",NA,2020-05-12,"unk",152,3,230287,-229576,-Inf,-Inf,NA,0,0,NA
"65",NA,2020-05-13,"unk",152,3,243430,-238279,-Inf,-Inf,NA,0,0,NA
"66",NA,2020-05-14,"unk",152,3,246414,-246536,-Inf,-Inf,NA,0,0,NA
"67",NA,2020-05-15,"unk",152,3,250747,-252933,-Inf,-Inf,NA,0,0,NA
"68",NA,2020-05-16,"unk",152,3,268376,-266978,-Inf,-Inf,NA,0,0,NA
"69",NA,2020-05-17,"unk",152,3,272265,-274680,-Inf,-Inf,NA,0,0,NA
"70",NA,2020-05-18,"unk",152,3,283178,-282796,-Inf,-Inf,NA,0,0,NA
"71",NA,2020-05-19,"unk",152,3,289392,-291647,-Inf,-Inf,NA,0,0,NA
"72",NA,2020-05-20,"unk",152,3,294312,-295858,-Inf,-Inf,NA,0,0,NA
"73",NA,2020-05-21,"unk",152,3,298418,-301748,-Inf,-Inf,NA,0,0,NA
"74",NA,2020-05-22,"unk",152,3,350135,-309795,-Inf,-Inf,NA,0,0,NA
"75",NA,2020-05-23,"unk",152,3,361239,-328248,-Inf,-Inf,NA,0,0,NA
"76",NA,2020-05-24,"unk",152,3,366736,-334673,-Inf,-Inf,NA,0,0,NA
"77",NA,2020-05-25,"unk",152,3,379157,-345461,-Inf,-Inf,NA,0,0,NA
"78",NA,2020-05-26,"unk",152,3,384902,-353123,-Inf,-Inf,NA,0,0,NA
"79",NA,2020-05-27,"unk",152,3,391508,-363968,-Inf,-Inf,NA,0,0,NA
"80",NA,2020-05-28,"unk",152,3,399991,-370648,-Inf,-Inf,NA,0,0,NA
"81",NA,2020-05-29,"unk",152,3,406446,-375303,-Inf,-Inf,NA,0,0,NA
"82",NA,2020-05-30,"unk",152,3,416461,-382090,-Inf,-Inf,NA,0,0,NA
"83",NA,2020-05-31,"unk",152,3,444758,-389847,-Inf,-Inf,NA,0,0,NA
"84",NA,2020-06-01,"unk",152,3,458231,-403640,-Inf,-Inf,NA,0,0,NA
"85",NA,2020-06-02,"unk",152,3,463868,-412091,-Inf,-Inf,NA,0,0,NA
"86",NA,2020-06-03,"unk",152,3,479258,-422771,-Inf,-Inf,NA,0,0,NA
"87",NA,2020-06-04,"unk",152,3,485002,-429799,-Inf,-Inf,NA,0,0,NA
"88",NA,2020-06-05,"unk",152,3,491706,-444527,-Inf,-Inf,NA,0,0,NA
"89",NA,2020-06-06,"unk",152,3,500849,-448520,-Inf,-Inf,NA,0,0,NA
"90",NA,2020-06-07,"unk",152,3,506367,-522701,-Inf,-Inf,NA,0,0,NA
"91",NA,2020-06-08,"unk",152,3,518522,-521996,-Inf,-Inf,NA,0,0,NA
"92",NA,2020-06-09,"unk",152,3,524855,-579081,-Inf,-Inf,NA,0,0,NA
"93",NA,2020-06-10,"unk",152,3,533504,-583670,-Inf,-Inf,NA,0,0,NA
"94",NA,2020-06-11,"unk",152,3,540292,-598392,-Inf,-Inf,NA,0,0,NA
"95",NA,2020-06-12,"unk",152,3,547386,-621742,-Inf,-Inf,NA,0,0,NA
"96",NA,2020-06-13,"unk",152,3,556606,-626128,-Inf,-Inf,NA,0,0,NA
"97",NA,2020-06-14,"unk",152,3,561816,-630184,-Inf,-Inf,NA,0,0,NA
"98",NA,2020-06-15,"unk",152,3,576334,-649161,-Inf,-Inf,NA,0,0,NA
"99",NA,2020-06-16,"unk",152,3,583503,-655390,-Inf,-Inf,NA,0,0,NA
"100",NA,2020-06-17,"unk",152,3,592191,-663195,-Inf,-Inf,NA,0,0,NA
"101",NA,2020-06-18,"unk",152,3,599115,-673795,-Inf,-Inf,NA,0,0,NA
"102",NA,2020-06-19,"unk",152,3,606715,-679341,-Inf,-Inf,NA,0,0,NA
"103",NA,2020-06-20,"unk",152,3,617460,-691263,-Inf,-Inf,NA,0,0,NA
"104",NA,2020-06-21,"unk",152,3,622133,-696389,-Inf,-Inf,NA,0,0,NA
"105",NA,2020-06-22,"unk",152,3,640198,-708007,-Inf,-Inf,NA,0,0,NA
"106",NA,2020-06-23,"unk",152,3,647548,-714714,-Inf,-Inf,NA,0,0,NA
"107",NA,2020-06-24,"unk",152,3,656161,-721596,-Inf,-Inf,NA,0,0,NA
"108",NA,2020-06-25,"unk",152,3,663562,-739351,-Inf,-Inf,NA,0,0,NA
"109",NA,2020-03-07,"unk",66,0,0,0,-Inf,-Inf,NA,0,0,NA
"110",NA,2020-03-08,"unk",66,0,0,0,-Inf,-Inf,NA,0,0,NA
"111",NA,2020-03-09,"unk",66,0,0,0,-Inf,-Inf,NA,0,0,NA
"112",NA,2020-02-24,"unk",36,0,0,0,-Inf,-Inf,NA,0,0,NA
"113",NA,2020-02-25,"unk",36,0,0,0,-Inf,-Inf,NA,0,0,NA
"114",NA,2020-02-26,"unk",42,0,0,0,-Inf,-Inf,NA,0,0,NA
"115",NA,2020-02-27,"unk",42,0,0,0,-Inf,-Inf,NA,0,0,NA
"116",NA,2020-02-28,"unk",44,0,0,0,-Inf,-Inf,NA,0,0,NA
"117",NA,2020-02-29,"unk",44,0,0,0,-Inf,-Inf,NA,0,0,NA
"118",NA,2020-03-01,"unk",44,0,0,0,-Inf,-Inf,NA,0,0,NA
"119",NA,2020-03-02,"unk",45,0,0,0,-Inf,-Inf,NA,0,0,NA
"120",NA,2020-03-03,"unk",45,0,0,0,-Inf,-Inf,NA,0,0,NA
"121",NA,2020-03-04,"unk",45,0,0,0,-Inf,-Inf,NA,0,0,NA
"122",NA,2020-03-05,"unk",45,0,0,0,-Inf,-Inf,NA,0,0,NA
"123",NA,2020-03-06,"unk",45,0,0,0,-Inf,-Inf,NA,0,0,NA
"124","enc",2020-01-24,"il",1,0,0,0,12671821,232,"192.1",0.00789152561419547,3.40151966129115e-05,46902431
"125","enc",2020-02-01,"il",2,0,0,0,12671821,232,"192.1",0.0157830512283909,6.8030393225823e-05,46902431
"126","enc",2020-02-02,"il",2,0,0,0,12671821,232,"192.1",0.0157830512283909,6.8030393225823e-05,46902431
"127","enc",2020-02-03,"il",2,0,0,0,12671821,232,"192.1",0.0157830512283909,6.8030393225823e-05,46902431
